"LongTable-checkbox","lineage1","lineage2","lineage3","depmapId","displayName"
"true","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000861","HOP62"
"true","Lung","Non-Small Cell Lung Cancer","Non-Small Cell Lung Cancer","ACH-000825","HOP92"
"true","Bone","Osteosarcoma","Osteosarcoma","ACH-000613","HOS"
"true","Thyroid","Anaplastic Thyroid Cancer","Anaplastic Thyroid Cancer","ACH-002041","HOTHC"
"true","Uterus","Endometrial Carcinoma","Endometrial Carcinoma","ACH-002027","HOUAI"
"true","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","ACH-000270","HPAC"
"true","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","ACH-000094","HPAFII"
"true","Lymphoid","T-Lymphoblastic Leukemia/Lymphoma","T-Lymphoblastic Leukemia/Lymphoma","ACH-000942","HPBALL"
"true","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-001091","HRT18"
"true","Fibroblast","Non-Cancerous","Fibroblast, Urinary Tract","ACH-000088","HS172T"
"true","Fibroblast","Non-Cancerous","Fibroblast, Lung","ACH-000131","HS229T"
"true","Fibroblast","Non-Cancerous","Fibroblast, Colorectal","ACH-000199","HS255T"
"true","Fibroblast","Non-Cancerous","Fibroblast, Breast","ACH-000134","HS274T"
"true","Fibroblast","Non-Cancerous","Fibroblast, Breast","ACH-000083","HS281T"
"true","Skin","Melanoma","Melanoma","ACH-000014","HS294T"
"true","Fibroblast","Non-Cancerous","Fibroblast, Breast","ACH-000184","HS343T"
"true","Lymphoid","Hodgkin Lymphoma","Hodgkin Lymphoma","ACH-002245","HS445"
"true","Breast","Invasive Breast Carcinoma","Breast Invasive Carcinoma, NOS","ACH-000148","HS578T"
"true","Fibroblast","Non-Cancerous","Fibroblast, Skin","ACH-000240","HS600T"
"true","Fibroblast","Non-Cancerous","Fibroblast, Lymphocyte","ACH-001093","HS604T"
"true","Fibroblast","Non-Cancerous","Fibroblast, Breast","ACH-000540","HS606T"
"true","Lymphoid","Hodgkin Lymphoma","Hodgkin Lymphoma","ACH-000069","HS611T"
"true","Fibroblast","Non-Cancerous","Fibroblast, Lymphocyte","ACH-000063","HS616T"
"true","Fibroblast","Non-Cancerous","Fibroblast, Lung","ACH-000539","HS618T"
"true","Soft Tissue","Fibrosarcoma","Fibrosarcoma","ACH-002246","HS633T"
"true","Fibroblast","Non-Cancerous","Fibroblast, Colorectal","ACH-000214","HS675T"
"true","CNS/Brain","Diffuse Glioma","Oligodendroglioma","ACH-000067","HS683"
"true","Fibroblast","Non-Cancerous","Fibroblast, Skin","ACH-000306","HS688AT"
"true","Skin","Melanoma","Melanoma","ACH-000799","HS695T"
"true","Fibroblast","Non-Cancerous","Fibroblast, Colorectal","ACH-000850","HS698T"
"true","Fibroblast","Non-Cancerous","Fibroblast, Bone","ACH-000071","HS706T"
"true","Soft Tissue","Rhabdomyosarcoma","Embryonal Rhabdomyosarcoma","ACH-000133","HS729"
"true","Fibroblast","Non-Cancerous","Fibroblast, Bone","ACH-000185","HS737T"
"true","Fibroblast","Non-Cancerous","Fibroblast, Breast","ACH-000413","HS739T"
"true","Fibroblast","Non-Cancerous","Fibroblast, Breast","ACH-000230","HS742T"
"true","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Stomach Adenocarcinoma","ACH-000616","HS746T"
"true","Fibroblast","Non-Cancerous","Fibroblast, Lymphocyte","ACH-000165","HS751T"
"true","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","ACH-000178","HS766T"
"true","Fibroblast","Non-Cancerous","Fibroblast, Bone","ACH-000224","HS819T"
"true","Fibroblast","Non-Cancerous","Fibroblast, Bone","ACH-000526","HS821T"
"true","Fibroblast","Non-Cancerous","Fibroblast, Bone","ACH-000229","HS822T"
"true","Fibroblast","Non-Cancerous","Fibroblast, Skin","ACH-000275","HS834T"
"true","Fibroblast","Non-Cancerous","Fibroblast, Skin","ACH-000180","HS839T"
"true","Fibroblast","Non-Cancerous","Fibroblast, Upper Aerodigestive","ACH-000284","HS840T"
"true","Skin","Melanoma","Melanoma","ACH-000274","HS852T"
"true","Bone","Osteosarcoma","Osteosarcoma","ACH-001712","HS860T"
"true","Fibroblast","Non-Cancerous","Fibroblast, Bone","ACH-000119","HS863T"
"true","Fibroblast","Non-Cancerous","Fibroblast, Bone","ACH-000340","HS870T"
"true","Fibroblast","Non-Cancerous","Fibroblast, Bone","ACH-000154","HS888T"
"true","Fibroblast","Non-Cancerous","Fibroblast, Skin","ACH-000043","HS895T"
"true","Fibroblast","Non-Cancerous","Fibroblast, Skin","ACH-000194","HS934T"
"true","Skin","Melanoma","Melanoma","ACH-000801","HS936T"
"true","Skin","Melanoma","Melanoma","ACH-000814","HS939T"
"true","Fibroblast","Non-Cancerous","Fibroblast, Skin","ACH-000135","HS940T"
"true","Skin","Melanoma","Cutaneous Melanoma","ACH-000632","HS944T"
"true","Skin","Cutaneous Squamous Cell Carcinoma","Cutaneous Squamous Cell Carcinoma","ACH-001523","HSC1"
"true","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","ACH-000472","HSC2"
"true","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","ACH-000778","HSC3"
"true","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Signet Ring Cell Carcinoma of the Stomach","ACH-002141","HSC39"
"true","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","ACH-000546","HSC4"
"true","Skin","Cutaneous Squamous Cell Carcinoma","Cutaneous Squamous Cell Carcinoma","ACH-001524","HSC5"
"true","Ovary/Fallopian Tube","Ovarian Cancer, Other","Ovarian Cancer, Other","ACH-002038","HSKTC"
"true","Bone","Osteosarcoma","Osteosarcoma","ACH-002069","HSOS1"
"true","Peripheral Nervous System","Nerve Sheath Tumor","Malignant Peripheral Nerve Sheath Tumor","ACH-002065","HSPSS"
"true","Head and Neck","Head and Neck Squamous Cell Carcinoma","Sinonasal Squamous Cell Carcinoma","ACH-002044","HSQ89"
"true","Peripheral Nervous System","Nerve Sheath Tumor","Malignant Peripheral Nerve Sheath Tumor","ACH-002066","HSSCH2"
"true","Soft Tissue","Synovial Sarcoma","Synovial Sarcoma","ACH-002085","HSSYII"
"true","Lymphoid","Non-Hodgkin Lymphoma","Diffuse Large B-Cell Lymphoma, NOS","ACH-000914","HT"
"true","Soft Tissue","Fibrosarcoma","Fibrosarcoma","ACH-000054","HT1080"
"true","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-000986","HT115"
"true","Bladder/Urinary Tract","Bladder Urothelial Carcinoma","Bladder Urothelial Carcinoma","ACH-000547","HT1197"
"true","Bladder/Urinary Tract","Bladder Urothelial Carcinoma","Bladder Urothelial Carcinoma","ACH-000724","HT1376"
"true","Skin","Melanoma","Melanoma","ACH-000322","HT144"
"true","Skin","Melanoma","Melanoma","ACH-002458","HT144SKINFV1"
"true","Skin","Melanoma","Melanoma","ACH-002460","HT144SKINFV2"
"true","Skin","Melanoma","Melanoma","ACH-002459","HT144SKINFV3"
"true","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-000552","HT29"
"true","Cervix","Cervical Adenocarcinoma","Cervical Adenocarcinoma","ACH-001525","HT3"
"true","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-000926","HT55"
"true","Thyroid","Anaplastic Thyroid Cancer","Anaplastic Thyroid Cancer","ACH-001350","HTCC3"
"true","Bone","Osteosarcoma","Osteosarcoma","ACH-001094","HTK"
"true","Uterus","Endometrial Carcinoma","Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor","ACH-002046","HTMMT"
"true","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Intrahepatic Cholangiocarcinoma","ACH-000976","HUCCT1"
"true","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Tubular Stomach Adenocarcinoma","ACH-000239","HUG1N"
"true","Liver","Hepatocellular Carcinoma","Hepatocellular Carcinoma","ACH-000475","HUH1"
"true","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Intrahepatic Cholangiocarcinoma","ACH-000808","HUH28"
"true","Liver","Hepatoblastoma","Hepatoblastoma","ACH-000671","HUH6"
"true","Liver","Hepatocellular Carcinoma","Hepatocellular Carcinoma","ACH-000480","HUH7"
"true","Lymphoid","Non-Hodgkin Lymphoma","Plasma Cell Myeloma","ACH-000829","HUNS1"
"true","Bone","Osteosarcoma","Osteosarcoma","ACH-002142","HUO3N1"
"true","Bone","Osteosarcoma","Osteosarcoma","ACH-001526","HUO9"
"true","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","ACH-000118","HUPT3"
"true","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","ACH-000213","HUPT4"
"true","Lymphoid","Non-Hodgkin Lymphoma","Mycosis Fungoides","ACH-000612","HUT102"
"true","Lymphoid","Non-Hodgkin Lymphoma","Sezary Syndrome","ACH-000509","HUT78"
"true","Bowel","Small Bowel Cancer","Duodenal Adenocarcinoma","ACH-000538","HUTU80"
"true","Lung","Non-Small Cell Lung Cancer","Large Cell Lung Carcinoma","ACH-000672","IALM"
"true","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Intrahepatic Cholangiocarcinoma","ACH-001834","ICC10"
"true","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Intrahepatic Cholangiocarcinoma","ACH-001835","ICC106"
"true","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Intrahepatic Cholangiocarcinoma","ACH-001836","ICC108"
"true","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Intrahepatic Cholangiocarcinoma","ACH-001838","ICC12"
"true","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Intrahepatic Cholangiocarcinoma","ACH-001839","ICC137"
"true","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Intrahepatic Cholangiocarcinoma","ACH-001841","ICC15"
"true","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Intrahepatic Cholangiocarcinoma","ACH-001842","ICC2"
"true","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Intrahepatic Cholangiocarcinoma","ACH-001843","ICC3"
"true","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Intrahepatic Cholangiocarcinoma","ACH-001844","ICC4"
"true","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Intrahepatic Cholangiocarcinoma","ACH-001845","ICC5"
"true","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Intrahepatic Cholangiocarcinoma","ACH-001846","ICC6"
"true","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Intrahepatic Cholangiocarcinoma","ACH-001848","ICC8"
"true","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Intrahepatic Cholangiocarcinoma","ACH-001849","ICC9"
"true","Skin","Melanoma","Melanoma","ACH-000882","IGR1"
"true","Skin","Melanoma","Melanoma","ACH-000650","IGR37"
"true","Skin","Melanoma","Melanoma","ACH-000550","IGR39"
"true","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","Endometrioid Ovarian Cancer","ACH-000966","IGROV1"
"true","Thyroid","Well-Differentiated Thyroid Cancer","Papillary Thyroid Cancer","ACH-001528","IHH4"
"true","Myeloid","Non-Cancerous","Immortalized Blood","ACH-002247","IM9"
"true","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Stomach Adenocarcinoma","ACH-000919","IM95"
"true","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","ACH-000310","IMR32"
"true","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","ACH-002248","IMR5"
"true","Lymphoid","Non-Hodgkin Lymphoma","Plasma Cell Myeloma","ACH-000512","INA6"
"true","CNS/Brain","Meningothelial Tumor","Meningioma","ACH-000629","IOMMLEE"
"true","Skin","Melanoma","Cutaneous Melanoma","ACH-000915","IPC298"
"true","Uterus","Endometrial Carcinoma","Endometrial Carcinoma","ACH-000961","ISHIKAWAHERAKLIO02ER"
"true","Skin","Melanoma","Melanoma","ACH-002143","ISTMEL1"
"true","Pleura","Pleural Mesothelioma","Pleural Mesothelioma, Epithelioid Type","ACH-000569","ISTMES1"
"true","Pleura","Pleural Mesothelioma","Pleural Mesothelioma, Epithelioid Type","ACH-000331","ISTMES2"
"true","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-002144","ISTSL1"
"true","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-002145","ISTSL2"
"true","Bladder/Urinary Tract","Bladder Urothelial Carcinoma","Bladder Urothelial Carcinoma","ACH-000396","J82"
"true","Normal","Non-Cancerous","Matched Normal","ACH-002379","J82EBV"
"true","Uterus","Gestational Trophoblastic Disease","Choriocarcinoma","ACH-001529","JAR"
"true","Uterus","Gestational Trophoblastic Disease","Choriocarcinoma","ACH-001530","JEG3"
"true","Lymphoid","Non-Hodgkin Lymphoma","Mantle Cell Lymphoma","ACH-000357","JEKO1"
"true","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Esophageal Adenocarcinoma","ACH-000216","JHESOAD1"
"true","Liver","Hepatocellular Carcinoma","Hepatocellular Carcinoma","ACH-000620","JHH1"
"true","Liver","Hepatocellular Carcinoma","Hepatocellular Carcinoma","ACH-000577","JHH2"
"true","Liver","Hepatocellular Carcinoma","Hepatocellular Carcinoma","ACH-000476","JHH4"
"true","Liver","Hepatocellular Carcinoma","Hepatocellular Carcinoma","ACH-000734","JHH5"
"true","Liver","Hepatocellular Carcinoma","Hepatocellular Carcinoma","ACH-000217","JHH6"
"true","Liver","Hepatocellular Carcinoma","Hepatocellular Carcinoma","ACH-000848","JHH7"
"true","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","Clear Cell Ovarian Cancer","ACH-000324","JHOC5"
"true","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","Mucinous Ovarian Cancer","ACH-000237","JHOM1"
"true","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","Mucinous Ovarian Cancer","ACH-000333","JHOM2B"
"true","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","High-Grade Serous Ovarian Cancer","ACH-000132","JHOS2"
"true","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","Serous Ovarian Cancer","ACH-002146","JHOS3"
"true","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","High-Grade Serous Ovarian Cancer","ACH-000584","JHOS4"
"true","Head and Neck","Head and Neck Squamous Cell Carcinoma","Larynx Squamous Cell Carcinoma","ACH-002249","JHU011"
"true","Head and Neck","Head and Neck Squamous Cell Carcinoma","Larynx Squamous Cell Carcinoma","ACH-002250","JHU022"
"true","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-002337","JHU028"
"true","Head and Neck","Head and Neck Squamous Cell Carcinoma","Larynx Squamous Cell Carcinoma","ACH-002251","JHU029"
"true","Uterus","Endometrial Carcinoma","Endometrial Carcinoma","ACH-000928","JHUEM1"
"true","Uterus","Endometrial Carcinoma","Endometrial Carcinoma","ACH-000909","JHUEM2"
"true","Uterus","Endometrial Carcinoma","Endometrial Carcinoma","ACH-000173","JHUEM3"
"true","Uterus","Endometrial Carcinoma","Endometrial Carcinoma","ACH-000993","JHUEM7"
"true","Breast","Invasive Breast Carcinoma","Breast Invasive Ductal Carcinoma","ACH-000711","JIMT1"
"true","Lymphoid","Non-Hodgkin Lymphoma","Burkitt Lymphoma","ACH-002252","JIYOYEP2003"
"true","Lymphoid","Non-Hodgkin Lymphoma","Plasma Cell Myeloma","ACH-000653","JJN3"
"true","Myeloid","Myeloproliferative Neoplasms","Chronic Myelogenous Leukemia","ACH-000241","JK1"
"true","Pleura","Pleural Mesothelioma","Pleural Mesothelioma, Epithelioid Type","ACH-000645","JL1"
"true","Lymphoid","B-Lymphoblastic Leukemia/Lymphoma","B-Lymphoblastic Leukemia/Lymphoma","ACH-000151","JM1"
"true","Bladder/Urinary Tract","Bladder Urothelial Carcinoma","Bladder Urothelial Carcinoma","ACH-000753","JMSU1"
"true","Kidney","Rhabdoid Cancer","Rhabdoid Cancer","ACH-001532","JMURTK2"
"true","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","ACH-001353","JOPACA1"
"true","Soft Tissue","Rhabdomyosarcoma","Alveolar Rhabdomyosarcoma","ACH-001096","JR"
"true","Lymphoid","Non-Hodgkin Lymphoma","Primary Effusion Lymphoma","ACH-002253","JSC1"
"true","Lymphoid","T-Lymphoblastic Leukemia/Lymphoma","T-Lymphoblastic Leukemia/Lymphoma","ACH-000995","JURKAT"
"true","Myeloid","Myeloproliferative Neoplasms","Chronic Myelogenous Leukemia","ACH-000326","JURLMK1"
"true","Bowel","Colorectal Adenocarcinoma","Mucinous Adenocarcinoma of the Colon and Rectum","ACH-002659","JVE127"
"true","Bowel","Colorectal Adenocarcinoma","Mucinous Adenocarcinoma of the Colon and Rectum","ACH-002664","JVE253"
"true","Lymphoid","Non-Hodgkin Lymphoma","Mantle Cell Lymphoma","ACH-000106","JVM2"
"true","Lymphoid","Non-Hodgkin Lymphoma","B-Cell Prolymphocytic Leukemia","ACH-000346","JVM3"
"true","Skin","Melanoma","Cutaneous Melanoma","ACH-000404","K029AX"
"true","Skin","Melanoma","Melanoma","ACH-002147","K2"
"true","Thyroid","Well-Differentiated Thyroid Cancer","Papillary Thyroid Cancer","ACH-002148","K5"
"true","Myeloid","Myeloproliferative Neoplasms","Chronic Myeloid Leukemia, BCR-ABL1+","ACH-000551","K562"
"true","CNS/Brain","Diffuse Glioma","Glioblastoma","ACH-000231","KALS1"
"true","Lymphoid","Non-Hodgkin Lymphoma","Primary Mediastinal (Thymic) Large B-Cell Lymphoma (PMBL)","ACH-002254","KARPAS1106P"
"true","Lymphoid","Non-Hodgkin Lymphoma","Splenic Marginal Zone Lymphoma","ACH-001533","KARPAS1718"
"true","Lymphoid","Non-Hodgkin Lymphoma","Diffuse Large B-Cell Lymphoma, NOS","ACH-002255","KARPAS231"
"true","Lymphoid","Non-Hodgkin Lymphoma","Anaplastic Large-Cell Lymphoma ALK Positive","ACH-000053","KARPAS299"
"true","Lymphoid","Non-Hodgkin Lymphoma","Adult T-Cell Leukemia/Lymphoma","ACH-001097","KARPAS384"
"true","Lymphoid","Non-Hodgkin Lymphoma","Diffuse Large B-Cell Lymphoma, NOS","ACH-000315","KARPAS422"
"true","Lymphoid","T-Lymphoblastic Leukemia/Lymphoma","T-Lymphoblastic Leukemia/Lymphoma","ACH-002256","KARPAS45"
"true","Lymphoid","Non-Hodgkin Lymphoma","Plasma Cell Myeloma","ACH-000193","KARPAS620"
"true","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","ACH-000263","KASUMI1"
"true","Lymphoid","B-Lymphoblastic Leukemia/Lymphoma","B-Lymphoblastic Leukemia/Lymphoma","ACH-000728","KASUMI2"
"true","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","ACH-000166","KASUMI6"
"true","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Signet Ring Cell Carcinoma of the Stomach","ACH-000793","KATOIII"
"true","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","ACH-001098","KCIMOH1"
"true","Myeloid","Myeloproliferative Neoplasms","Chronic Myelogenous Leukemia","ACH-000983","KCL22"
"true","CNS/Brain","Embryonal Tumor","Atypical Teratoid/Rhabdoid Tumor","ACH-001099","KD"
"true","Lymphoid","Non-Hodgkin Lymphoma","Adult T-Cell Leukemia/Lymphoma","ACH-000101","KE37"
"true","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Stomach Adenocarcinoma","ACH-000507","KE39"
"true","Lymphoid","Non-Hodgkin Lymphoma","Plasma Cell Myeloma","ACH-000167","KE97"
"true","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","ACH-000259","KELLY"
"true","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","ACH-000386","KG1"
"true","CNS/Brain","Diffuse Glioma","Oligodendroglioma","ACH-000126","KG1C"
"true","Ovary/Fallopian Tube","Sex Cord Stromal Tumor","Granulosa Cell Tumor","ACH-002149","KGN"
"true","Lymphoid","Non-Hodgkin Lymphoma","Plasma Cell Myeloma","ACH-000564","KHM1B"
"true","Lymphoid","T-Lymphoblastic Leukemia/Lymphoma","Natural Killer (NK) Cell Lymphoblastic Leukemia/Lymphoma (NKCLL)","ACH-001100","KHYG1"
"true","Lymphoid","Non-Hodgkin Lymphoma","Anaplastic Large-Cell Lymphoma ALK Positive","ACH-000773","KIJK"
"true","CNS/Brain","Diffuse Glioma","Anaplastic Astrocytoma","ACH-002257","KINGS1"
"true","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Extrahepatic Cholangiocarcinoma","ACH-001536","KKU100"
"true","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Intrahepatic Cholangiocarcinoma","ACH-001538","KKU213"
"true","Uterus","Endometrial Carcinoma","Endometrial Carcinoma","ACH-000293","KLE"
"true","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","ACH-001101","KLM1"
"true","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-000969","KM12"
"true","Bladder/Urinary Tract","Bladder Urothelial Carcinoma","Bladder Urothelial Carcinoma","ACH-000862","KMBC2"
"true","Liver","Hepatocellular Carcinoma plus Intrahepatic Cholangiocarcinoma","Hepatocellular Carcinoma plus Intrahepatic Cholangiocarcinoma","ACH-001853","KMCH1"
"true","Lymphoid","Hodgkin Lymphoma","Hodgkin Lymphoma","ACH-000815","KMH2"
"true","Thyroid","Anaplastic Thyroid Cancer","Anaplastic Thyroid Cancer","ACH-002397","KMHDASH2"
"true","Lymphoid","Non-Hodgkin Lymphoma","Germinal Center B-Cell Type","ACH-001539","KML1"
"true","Soft Tissue","Liposarcoma","Liposarcoma","ACH-001540","KMLS1"
"true","Lymphoid","Non-Hodgkin Lymphoma","Plasma Cell Myeloma","ACH-000889","KMM1"
"true","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","ACH-002258","KMOE2"
"true","Kidney","Renal Cell Carcinoma","Renal Clear Cell Carcinoma","ACH-000684","KMRC1"
"true","Kidney","Renal Cell Carcinoma","Renal Clear Cell Carcinoma","ACH-000709","KMRC2"
"true","Kidney","Renal Cell Carcinoma","Renal Clear Cell Carcinoma","ACH-000250","KMRC20"
"true","Kidney","Renal Cell Carcinoma","Renal Clear Cell Carcinoma","ACH-000313","KMRC3"
"true","Lymphoid","Non-Hodgkin Lymphoma","Plasma Cell Myeloma","ACH-000714","KMS11"
"true","Lymphoid","Non-Hodgkin Lymphoma","Plasma Cell Myeloma","ACH-000380","KMS12BM"
"true","Lymphoid","Non-Hodgkin Lymphoma","Plasma Cell Myeloma","ACH-000658","KMS18"
"true","Lymphoid","Non-Hodgkin Lymphoma","Plasma Cell Myeloma","ACH-000426","KMS20"
"true","Lymphoid","Non-Hodgkin Lymphoma","Plasma Cell Myeloma","ACH-000598","KMS21BM"
"true","Lymphoid","Non-Hodgkin Lymphoma","Plasma Cell Myeloma","ACH-000588","KMS26"
"true","Lymphoid","Non-Hodgkin Lymphoma","Plasma Cell Myeloma","ACH-000576","KMS27"
"true","Lymphoid","Non-Hodgkin Lymphoma","Plasma Cell Myeloma","ACH-000419","KMS28BM"
"true","Lymphoid","Non-Hodgkin Lymphoma","Plasma Cell Myeloma","ACH-001541","KMS28PE"
"true","Lymphoid","Non-Hodgkin Lymphoma","Plasma Cell Myeloma","ACH-000541","KMS34"
"true","CNS/Brain","Diffuse Glioma","Glioblastoma","ACH-000622","KNS42"
"true","CNS/Brain","Diffuse Glioma","Glioblastoma","ACH-000445","KNS60"
"true","Lung","Non-Small Cell Lung Cancer","Lung Squamous Cell Carcinoma","ACH-000858","KNS62"
"true","CNS/Brain","Diffuse Glioma","Glioblastoma","ACH-000479","KNS81"
"true","CNS/Brain","Diffuse Glioma","Glioblastoma","ACH-002259","KNS81FD"
"true","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","ACH-000498","KO52"
"true","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","ACH-001542","KON"
"true","Lymphoid","B-Lymphoblastic Leukemia/Lymphoma","B-Lymphoblastic Leukemia/Lymphoma","ACH-001106","KOPN8"
"true","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","ACH-001543","KOSC2"
"true","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","ACH-001107","KP1N"
"true","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","ACH-000281","KP2"
"true","Pancreas","Adenosquamous Carcinoma of the Pancreas","Adenosquamous Carcinoma of the Pancreas","ACH-000108","KP3"
"true","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-002669","KP363T"
"true","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","ACH-000265","KP4"
"true","Breast","Invasive Breast Carcinoma","Invasive Breast Carcinoma","ACH-000028","KPL1"
"true","Kidney","Rhabdoid Cancer","Rhabdoid Cancer","ACH-001109","KPMRTRY"
"true","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","ACH-000345","KPNRTBM1"
"true","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","ACH-000446","KPNSI9S"
"true","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","ACH-000227","KPNYN"
"true","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","ACH-002261","KPNYS"
"true","CNS/Brain","Diffuse Glioma","Glioblastoma","ACH-000631","KS1"
"true","Bladder/Urinary Tract","Bladder Urothelial Carcinoma","Bladder Urothelial Carcinoma","ACH-000486","KU1919"
"true","Myeloid","Myeloproliferative Neoplasms","Chronic Myelogenous Leukemia","ACH-000074","KU812"
"true","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","High-Grade Serous Ovarian Cancer","ACH-000524","KURAMOCHI"
"true","Myeloid","Acute Myeloid Leukemia","Acute Myelomonocytic Leukemia","ACH-002262","KY821"
"true","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Esophageal Adenocarcinoma","ACH-001544","KYAE1"
"true","Soft Tissue","Rhabdomyosarcoma","Embryonal Rhabdomyosarcoma","ACH-000607","KYM1"
"true","Myeloid","Myeloproliferative Neoplasms","Chronic Myelogenous Leukemia","ACH-000604","KYO1"
"true","Esophagus/Stomach","Esophageal Squamous Cell Carcinoma","Esophageal Squamous Cell Carcinoma","ACH-000823","KYSE140"
"true","Esophagus/Stomach","Esophageal Squamous Cell Carcinoma","Esophageal Squamous Cell Carcinoma","ACH-000855","KYSE150"
"true","Esophagus/Stomach","Esophageal Squamous Cell Carcinoma","Esophageal Squamous Cell Carcinoma","ACH-000693","KYSE180"
"true","Esophagus/Stomach","Esophageal Squamous Cell Carcinoma","Esophageal Squamous Cell Carcinoma","ACH-002263","KYSE220"
"true","Esophagus/Stomach","Esophageal Squamous Cell Carcinoma","Esophageal Squamous Cell Carcinoma","ACH-000873","KYSE270"
"true","Esophagus/Stomach","Esophageal Squamous Cell Carcinoma","Esophageal Squamous Cell Carcinoma","ACH-000777","KYSE30"
"true","Esophagus/Stomach","Esophageal Squamous Cell Carcinoma","Esophageal Squamous Cell Carcinoma","ACH-000809","KYSE410"
"true","Esophagus/Stomach","Esophageal Squamous Cell Carcinoma","Esophageal Squamous Cell Carcinoma","ACH-000865","KYSE450"
